Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
ALIGN,Small Diamonds (99.17% THCA),25 Grams,DIA25,0,via SKU,1.0
ALIGN,SMALLS Sasquatch Breath (Indica - 28.21% THCa),3.5 Grams,2725069,0,via SKU,1.0
ALIGN,SMALLS Sasquatch Breath (Indica - 28.21% THCa),7 Grams,654611M,0,via SKU,1.0
ALIGN,SMALLS Sasquatch Breath (Indica - 28.21% THCa),14 Grams,3639107,0,via SKU,1.0
ALIGN,SMALLS Sasquatch Breath (Indica - 28.21% THCa),28 Grams,6205067,0,via SKU,1.0
ALIGN,Smoking Dog,Mango Lemonade 100,3741071,0,via SKU,1.0
ALIGN,Smoking Dog,Blueberry Lemonade 100,K851086,0,via SKU,1.0
ALIGN,Smoking Dog,Raspberry Sweet Tea 100,3669390,0,via SKU,1.0
ALIGN,Smoking Dog,Orange Cream Puff 25,A556994,0,via SKU,1.0
ALIGN,Smoking Dog,Watermelon 25,448454Y,0,via SKU,1.0
ALIGN,Smoking Dog,Pink Lemonade 25,D432634,0,via SKU,1.0
ALIGN,Smoking Dog,Mango Madness 5,453395V,0,via SKU,1.0
ALIGN,Smoking Dog,Cherry Lime 5,875569B,0,via SKU,1.0
ALIGN,Smoking Dog,Yuzu Lime 5,R840442,0,via SKU,1.0
ALIGN,Sundae Driver (Hybrid - 22.85% THCA),3.5 Grams,465741P,0,via SKU,1.0
ALIGN,Sundae Driver (Hybrid - 22.85% THCA),7 Grams,D200873,0,via SKU,1.0
ALIGN,Sundae Driver (Hybrid - 22.85% THCA),14 Grams,629952G,0,via SKU,1.0
ALIGN,Sundae Driver (Hybrid - 22.85% THCA),28 Grams,174542A,0,via SKU,1.0
ALIGN,Sunset Sherbert (Hybrid - 19.04% THCA),3.5 Grams,8776032,0,via SKU,1.0
ALIGN,Sunset Sherbert (Hybrid - 19.04% THCA),7 Grams,684653D,0,via SKU,1.0
ALIGN,Sunset Sherbert (Hybrid - 19.04% THCA),14 Grams,5297954,0,via SKU,1.0
ALIGN,Sunset Sherbert (Hybrid - 19.04% THCA),28 Grams,567531L,0,via SKU,1.0
ALIGN,Super Boof (Hybrid - 26.94% THCA),3.5 Grams,W609596,0,via SKU,1.0
ALIGN,Super Boof (Hybrid - 26.94% THCA),7 Grams,S742776,0,via SKU,1.0
ALIGN,Super Boof (Hybrid - 26.94% THCA),14 Grams,840589M,0,via SKU,1.0
ALIGN,Super Boof (Hybrid - 26.94% THCA),28 Grams,4995710,0,via SKU,1.0
ALIGN,SwitchBlade,Regular,113997T,0,via SKU,1.0
ALIGN,Tangie (Sativa - 26.37% THCA) SMALLS,3.5 Grams,582753Q,0,via SKU,1.0
ALIGN,Tangie (Sativa - 26.37% THCA) SMALLS,7 Grams,655112X,0,via SKU,1.0
ALIGN,Tangie (Sativa - 26.37% THCA) SMALLS,14 Grams,L469068,0,via SKU,1.0
ALIGN,Tangie (Sativa - 26.37% THCA) SMALLS,28 Grams,V679974,0,via SKU,1.0
ALIGN,Temple Lemonade Live Rosin (73.1% THCA),1 Gram,2931766,0,via SKU,1.0
ALIGN,Temple Lemonade Live Rosin (73.1% THCA),5 Grams,876441T,0,via SKU,1.0
ALIGN,THC Knockout Krispy Cereal Bars,Fruity Pebbles,FRUITY,0,via SKU,1.0
ALIGN,THC Knockout Krispy Cereal Bars,Cinnamon Toast Crunch,CINNA,0,via SKU,1.0
ALIGN,THC Knockout Krispy Cereal Bars,Coco Crunch,COCO,0,via SKU,1.0
ALIGN,THCA Prerolls,Regular,X074859,0,via SKU,1.0
ALIGN,The Hero Seed,Regular,W942312,0,via SKU,1.0
ALIGN,Time Wreck (Sativa - 24.53% THCA),3.5 Grams,1904883,0,via SKU,1.0
ALIGN,Time Wreck (Sativa - 24.53% THCA),7 Grams,584989Z,0,via SKU,1.0
ALIGN,Time Wreck (Sativa - 24.53% THCA),14 Grams,F924559,0,via SKU,1.0
ALIGN,Time Wreck (Sativa - 24.53% THCA),28 Grams,X586694,0,via SKU,1.0
ALIGN,Tips,Regular,3395889,0,via SKU,1.0
ALIGN,Twacked Tea 10mg THC,4 pack,C680527,0,via SKU,1.0
ALIGN,Twacked Tea 10mg THC,Georgia Tea 10mg THC & CBD,693685X,0,via SKU,1.0
ALIGN,Twacked Tea 10mg THC,Cross Fade 10mg THC & CBD,150457Z,0,via SKU,1.0
ALIGN,Type Z Live Rosin (75.70% THCA),1 Gram,7753677,0,via SKU,1.0
ALIGN,Type Z Live Rosin (75.70% THCA),5 Grams,A962894,0,via SKU,1.0
ALIGN,Upgrade (Hybrid - 28.53% THCA),3.5 Grams,913877E,0,via SKU,1.0
ALIGN,Upgrade (Hybrid - 28.53% THCA),7 Grams,8298947,0,via SKU,1.0
ALIGN,Upgrade (Hybrid - 28.53% THCA),14 Grams,1942711,0,via SKU,1.0
ALIGN,Upgrade (Hybrid - 28.53% THCA),28 Grams,K607019,0,via SKU,1.0
ALIGN,Vape,Regular,T673870,0,via SKU,1.0
ALIGN,vase,Regular,130182K,0,via SKU,1.0
ALIGN,Venom OG (Indica - 28.42% THCA),3.5 Grams,3855637,0,via SKU,1.0
ALIGN,Venom OG (Indica - 28.42% THCA),7 Grams,M295517,0,via SKU,1.0
ALIGN,Venom OG (Indica - 28.42% THCA),14 Grams,B718891,0,via SKU,1.0
ALIGN,Venom OG (Indica - 28.42% THCA),28 Grams,220696P,0,via SKU,1.0
ALIGN,wax brittle,Regular,2507002,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,Raspberry 50mg - Single,667625L,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,4 pack,4642788,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,Blackberry 50mg - Single,1600134,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,Lemon 50mg - Single,T075057,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,Orange - Singe,2038887,0,via SKU,1.0
ALIGN,Wyld CBD Sparkling Water,Blueberry Pomegranate - Single,J681616,0,via SKU,1.0
ALIGN,Yak Butter - CBD Flower,3.5 Grams,YB3.5,0,via SKU,1.0
ALIGN,Yak Butter - CBD Flower,7 Grams,YB7,0,via SKU,1.0
ALIGN,Yak Butter - CBD Flower,14 Grams,YB14,0,via SKU,1.0
ALIGN,Yak Butter - CBD Flower,28 Grams,YB28,0,via SKU,1.0
