Action,Shopify Product,Variant,SKU,Qty,Best Square Item,Score
REVIEW,100mg THC Gummies,Mango Lemonade,GUM-100-MANGLEM,16,Rise - Mango Daytime Gummies - CBD + CBG + THC - 15 Count - Sativa,0.25
REVIEW,Cherry Diesel Live Resin (Hybrid - 67.86% CBDA),2.5 Grams,CHERRYDIESEL-2.5,16,Orange Cheesecake Live Resin (Hybrid - 86.13% THCA),0.31
REVIEW,Giraffe Pussy (Hybrid - 28.50% THCA),28 Grams,GIRAFFEPUSSY-28,15,Giraffe Pussy (Sativa Hybrid - 24.42% THCA),0.4
ALIGN,Helium (indica - 31.76% THCA),28 Grams,HELIUM-28,15,Helium (Hybrid - 31.76% THCA),0.5
ALIGN,Kryptonite (Hybrid - 31.68% THCA),7 Grams,KRYPTONITE-7,15,Kryptonite (Hybrid/Indica - 31.68% THCA),0.71
ALIGN,Kundalini Sherbet (Hybrid - 30.64% THCA),28 Grams,KUNDALINISHERBET-28,15,Kundalini Sherbet (Hybrid- 30.64% THCA),0.75
ALIGN,Mother of Berries (Indica - 16.91% THCA),28 Grams,MOTHERBERRIES-28,15,Mother of Berries (Indica - 14.83% THCA),0.45
REVIEW,Alien Hallucination (Hybrid - 31.09% THCA),28 Grams,ALIENHALLUCINATION-28,14,Alien Hallucination (Hybrid - 20.5% THCA),0.44
ALIGN,Blue Lotus Sweet Dream Sleep Gummies - 5MG Melatonin - THC & CBD FREE,Default Title,474279Z,14,via SKU,1.0
REVIEW,Citrus Burst Live Resin (Sativa - 83.20% THCA),5 Grams,agzoap5,13,Trop Z Live Resin (Sativa - 81.35% THCA),0.33
REVIEW,50mg THC Gummies (Singles),Orange,GUM-50-ORANGE,11,30mg THC Gummies - Blood Orange - Sativa,0.38
REVIEW,50mg THC Gummies (Singles),Raspberry,GUM-50-RASPBERRY,10,30mg THC Gummies - Blue Raspberry - Sativa,0.38
ALIGN,Kryptonite (Hybrid - 31.68% THCA),14 Grams,KRYPTONITE-14,10,Kryptonite (Hybrid/Indica - 31.68% THCA),0.63
ALIGN,King Cone Pre-Roll - THCA,Pineapple Trainwreck (Sativa),Q188573,9,via SKU,1.0
REVIEW,Astronaut (Indica - 32.73% THCA),7 Grams,ASTRONAUT-7,8,Mcflurry (Hybrid - 32.4% THCA),0.25
REVIEW,Candy Zativa Orbit (Sativa - 31.42% THCA),7 Grams,CANDYZATIVA-7,8,Lung Candy (Indica - 31.6% THCA),0.3
ALIGN,Kryptonite (Hybrid - 31.68% THCA),28 Grams,KRYPTONITE-28,8,Kryptonite (Hybrid/Indica - 31.68% THCA),0.63
ALIGN,Orange Cheesecake Live Resin (Indica - 86.13% THCA),10 Grams,agzoap10,8,via SKU,1.0
ALIGN,Blockberry (Hybrid - 25.42% THCA),7 Grams,BLOCKBERRY-7,6,Blockberry (Hybrid - 25.42% THCA),0.83
ALIGN,Citrus Burst Live Resin (Sativa - 83.20% THCA),10 Grams,agzoap10,6,via SKU,1.0
REVIEW,Upgrade (Indica -  29.76% THCA),7 Grams,UPGRADE-7,6,Mac 1 (Hybrid- 29.76% THCA),0.38
REVIEW,100mg THC Gummies,Orange Cream Puff,GUM-100-ORACREAM,5,30mg THC Gummies - Blood Orange - Sativa,0.33
REVIEW,Citrus Burst Live Resin (Sativa - 83.20% THCA),50 Grams,CITRUSBURST-50,5,Trop Z Live Resin (Sativa - 81.35% THCA),0.31
REVIEW,100mg THC Gummies,Watermelon,GUM-100-WATERMELON,4,30mg THC Gummies - Wild Cherry - Indica,0.25
